location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature,Precipitation Total,Relative Humidity,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Cloud Cover Total,CAPE,Shortwave Radiation,Mean Sea Level Pressure,Geopotential Height,Evapotranspiration,Temperature,Soil Moisture,Soil Moisture
unit,°C,°C,°C,mm,%,km/h,km/h,°,km/h,°,%,J/kg,W/m²,hPa,Gpm,mm,°C,m³/m³,m³/m³
level,2 m elevation corrected,700 mb,500 mb,sfc,2 m,sfc,10 m,10 m,850 mb,850 mb,sfc,180-0 mb above gnd,sfc,MSL,500 mb,sfc,sfc,0-7 cm down,28-100 cm down
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [700 mb],Basel Temperature [500 mb],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Gust,Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Wind Speed [850 mb],Basel Wind Direction [850 mb],Basel Cloud Cover Total,Basel CAPE [180-0 mb above gnd],Basel Shortwave Radiation,Basel Mean Sea Level Pressure [MSL],Basel Geopotential Height [500 mb],Basel Evapotranspiration,Basel Temperature,Basel Soil Moisture [0-7 cm down],Basel Soil Moisture [28-100 cm down]
20240101T0000,6.5302453,-11.46,-30.82,0.0,81.2849,34.56,15.94601,208.30075,66.7584,253.71509,73.0,3.0,0.0,1012.5,5423.0,0.02592,2.97,0.398,0.396
20240101T0100,6.2402453,-11.86,-31.19,0.0,83.22755,35.28,15.683774,211.86598,69.929016,253.24426,73.0,10.0,0.0,1012.6,5417.0,0.02592,3.14,0.396,0.396
20240101T0200,6.210245,-11.93,-31.71,0.0,84.7112,41.039997,16.704155,217.11687,70.38069,255.18185,84.0,10.0,0.0,1013.0,5416.0,0.03168,3.36,0.396,0.396
20240101T0300,6.170245,-12.08,-30.79,0.1,84.94641,40.32,16.363178,219.64418,66.23412,259.6673,74.0,9.0,0.0,1013.2,5415.0,0.036,3.27,0.395,0.396
20240101T0400,6.1602454,-12.23,-29.84,0.0,83.80913,36.719997,16.323528,221.42366,61.21376,259.15265,50.0,11.0,0.0,1013.3,5415.0,0.03312,3.52,0.395,0.396
20240101T0500,6.130245,-12.32,-28.94,0.0,84.10285,35.64,15.629971,218.4537,58.68883,257.24246,53.0,11.0,0.0,1013.7,5420.0,0.02592,2.96,0.395,0.396
20240101T0600,6.020245,-12.37,-27.95,0.0,84.32747,34.56,15.9134655,217.64761,59.20331,255.20325,41.0,8.0,0.0,1014.1,5424.0,0.02304,2.98,0.394,0.396
20240101T0700,6.040245,-12.26,-26.87,0.0,84.449776,37.079998,15.192682,216.32683,60.240597,252.97281,39.0,0.0,0.0,1014.7,5433.0,0.03168,2.95,0.393,0.395
20240101T0800,6.290245,-12.12,-26.18,0.0,82.822174,36.36,14.693999,210.96376,62.1644,250.72562,44.0,0.0,9.0,1015.0,5443.0,0.02448,3.0,0.392,0.395
20240101T0900,6.8402452,-12.12,-25.99,0.0,81.61914,34.56,15.696165,216.60707,61.516823,253.68616,42.0,0.0,76.0,1015.2,5453.0,0.0432,4.95,0.391,0.395
20240101T1000,7.4302454,-12.77,-25.45,0.0,78.20641,36.0,14.291592,220.91438,54.311104,255.41107,52.0,28.0,137.0,1015.6,5455.0,0.06336,6.0,0.391,0.395
20240101T1100,8.080246,-12.46,-26.12,0.0,75.3871,36.719997,16.323528,228.57634,54.763794,252.39882,68.0,32.0,217.0,1015.6,5456.0,0.08928,6.56,0.39,0.395
20240101T1200,8.210245,-12.01,-26.71,0.0,75.784424,44.639996,16.279802,234.90419,54.101902,253.37378,53.0,12.0,220.0,1015.6,5461.0,0.09504,6.32,0.389,0.395
20240101T1300,8.190246,-11.62,-26.92,0.0,76.4252,39.96,14.57889,237.09476,51.27947,254.10986,41.0,0.0,196.0,1015.1,5461.0,0.08208,6.49,0.388,0.395
20240101T1400,8.290245,-11.36,-26.91,0.0,75.05355,34.2,13.089354,238.49574,48.11895,254.82007,27.0,0.0,128.0,1015.1,5462.0,0.05472,6.2,0.387,0.395
20240101T1500,8.080246,-11.2,-26.89,0.0,75.12102,29.16,9.504272,232.69606,46.001183,252.69946,24.0,0.0,78.0,1015.3,5465.0,0.03312,4.98,0.387,0.395
20240101T1600,7.0102453,-11.02,-26.99,0.0,79.64705,24.48,7.928177,219.47246,46.001183,252.69946,36.0,0.0,15.0,1015.8,5468.0,0.01008,2.83,0.386,0.395
20240101T1700,5.7202454,-10.96,-26.81,0.0,85.010635,21.96,7.342588,191.30994,46.060303,248.44806,40.0,0.0,0.0,1016.3,5474.0,0.00288,2.43,0.386,0.395
20240101T1800,5.2602453,-10.83,-26.56,0.0,86.418076,21.599998,7.92,180.0,46.0589,242.03288,30.000002,0.0,0.0,1016.2,5479.0,0.00144,2.2,0.385,0.395
20240101T1900,5.420245,-10.83,-26.5,0.0,85.39759,20.880001,7.928178,182.60257,49.028774,240.0464,30.000002,0.0,0.0,1016.3,5485.0,0.0,1.85,0.385,0.395
20240101T2000,5.110245,-10.39,-26.4,0.0,86.277504,22.319998,8.64,180.0,52.929794,237.49892,30.000002,0.0,0.0,1016.2,5491.0,0.0,1.75,0.384,0.395
20240101T2100,5.3102455,-9.46,-25.43,0.0,84.65669,23.4,8.647496,177.61406,55.32768,235.06906,30.000002,0.0,0.0,1015.1,5493.0,0.0,1.62,0.384,0.395
20240101T2200,5.6002455,-8.27,-24.76,0.0,84.45306,24.48,10.086427,177.95459,64.30309,240.85193,56.0,0.0,0.0,1014.5,5498.0,0.00576,2.68,0.384,0.395
20240101T2300,5.8302455,-8.28,-23.9,0.0,82.46372,25.56,10.538843,187.85332,71.9874,244.84464,96.0,0.0,0.0,1014.8,5503.0,0.00864,2.83,0.383,0.395
20240102T0000,6.1602454,-7.88,-22.82,0.0,80.252014,27.359999,12.371645,188.36589,75.34672,243.31253,99.0,0.0,0.0,1013.8,5508.0,0.01296,3.37,0.383,0.395
20240102T0100,6.6402454,-8.17,-21.96,0.0,77.46423,31.319998,15.192682,193.70695,80.19601,242.16959,99.0,0.0,0.0,1012.4,5506.0,0.0216,3.72,0.383,0.395
20240102T0200,7.3502455,-7.63,-22.04,0.1,72.56643,36.36,17.309973,196.92752,86.457726,243.00818,100.0,0.0,0.0,1011.8,5509.0,0.03456,4.27,0.383,0.395
20240102T0300,7.5702453,-6.59,-22.08,0.4,75.34709,41.760002,19.721298,201.41296,89.20158,242.60764,100.0,0.0,0.0,1011.1,5511.0,0.04752,4.36,0.386,0.395
20240102T0400,7.7202454,-6.09,-21.64,0.6,79.81503,46.8,22.057161,206.14685,90.49185,242.51749,100.0,0.0,0.0,1010.1,5509.0,0.06624,4.66,0.391,0.395
20240102T0500,7.960245,-5.58,-20.22,0.8,82.068115,51.48,23.675304,208.12373,93.07305,242.34468,100.0,0.0,0.0,1009.5,5511.0,0.09072,4.83,0.398,0.395
20240102T0600,8.350245,-5.7,-19.48,0.8,82.065636,54.36,24.162947,208.4742,93.54598,242.74467,98.0,0.0,0.0,1009.0,5516.0,0.09936,4.99,0.405,0.395
